OBJECTID,ProviderId,ProviderName,ServiceName,CreateDate,ModifyDate,ProviderType,ProviderWebSite,LocationName,AddressLine1,AddressLine2,City,State,County,MailAddressLine1,MailCity,MailState,MailZipCode,EmailAddress,PhoneNumber,PhoneNumberExt,Features,ShortDescription,Eligibility,Application,Fee,AreaServed,LocationId,ZipCode,MailAddressLine12,Additional_Notes,,POINT_X,POINT_Y
40,13100917,Sabathani Community Center,Food Shelf,10/9/2001,11/13/2014,Non-profit,http://www.sabathani.org,*Main Site (Sabathani Community Center),310 E 38th St,,Minneapolis,MN,Hennepin,310 E 38th St,Minneapolis,MN,55409-1337,,6128212396,,"Accessible public restroom, Designated disability parking",Food shelf that provides food to families in need.,"Community residents residing in boundaries - Cedar Avenue on east, Lake Street to 35W to 32nd Street on north, Nicollet Avenue on West and city limits on south. 

Bring ID, Medical Assistance card or social security numbers for children.
Must have picture ID, proof of address and social security number for each household member.","Come during open hours - bring necessary ID.

9:00am - 11:30am, Monday - Thursday
1:00pm - 3:30pm, Monday - Thursday",,Hennepin,1,55409-1337,Ste 200,Monday-Thursday 9-11:30 a.m. and 1-3:30 p.m.,,-93.27209,44.934208
41,13101172,The Food Group,Food Shelf Support,9/27/2001,2/4/2016,Non-profit,http://thefoodgroupmn.org,*Main Site (The Food Group),8501 54th Ave N,,New Hope,MN,Hennepin,8501 54th Ave N,New Hope,MN,55428-3710,tleland@thefoodgroupmn.org,7634503895,,Private pay,Food shelves access food and support services that they then use to provide services to their clients.,Registered 501c3 or under the fiscal agency of a registered 501c3.  Abides by minimum operations standards and hunger relief best practices.,For agency support please contact Trica Leland.,Membership is free.  Partners have the ability to purchase food.,"Anoka, Carver, Chisago, Dakota, Hennepin, Isanti, Ramsey, Scott, Washington",1,55428-3710,,,,-93.388243,45.049638
42,15324,Rescue Now Services,Food Shelf,5/12/2016,5/31/2016,Non-profit,http://www.rescuenowservices.org,*Main Site (Rescue Now Services),697 13th Ave NE,,Minneapolis,MN,Hennepin,697 13th Ave NE,Minneapolis,MN,55413,,6127884829,,Ex-offenders accepted,Perishable and non-perishable food to the needy,"Please show proof of residence. They take photo ID or recent piece of mail.

Recipients can visit the food shelf once a month. There is free food available in another area of the food shelf that people can use more often if needed.","Food shelf is open on:
11:00am - 2:00pm, Tuesday
4:00pm - 6:00pm, Fridays

The food shelf is located at the Strong Tower Parish church.",,Hennepin,1,55413,,The food shelf is open Fridays from 4:00 to 6:00pm.,,-93.252831,45.001172
43,13100681,Community Emergency Assistance Programs,Food Shelf - No Hassles Youth Food Shelf,10/9/2014,10/9/2014,Non-Profit,http://www.ceap.org,No Hassles Youth Food Shelf,5929 Brooklyn Blvd,Cross of Glory Lutheran Church,Brooklyn Park,MN,Hennepin,5929 Brooklyn Blvd,Brooklyn Park,MN,55429-2529,,7635669600,,,"Food shelf serving youth ages 12-21. Food is available at no cost, as well as clothing, hygiene products, baby items, and an opportunity to socialize. Clients can visit up to 1 time per week.",Youth ages 12-21; up to 1 visit per week.,"No forms or applications required.

The food shelf is open Wednesdays and Fridays, 3:00pm - 6:00pm.",No fee,Hennepin,3,55429-2529,Cross of Glory Lutheran Church,,,-93.326163,45.06313
44,13101614,Sharing and Caring Hands,Food Shelf,3/28/2002,1/21/2016,Non-profit,http://www.sharingandcaringhands.org,*Main Site (Sharing and Caring Hands),525 N 7th St,,Minneapolis,MN,Hennepin,525 N 7th St,Minneapolis,MN,55405,,6123384640,,"Accessible main entrance (zero step approach), Accessible public restroom, Designated disability parking, Free / no cost to everyone, People with low income",Bags of food are given to families with children,,,No fee,"Anoka, Carver, Dakota, Hennepin, Ramsey, Scott, Washington",1,55405,,Mondays- Thursdays 10-11:30am or 1:30-3:00pm.,,-93.282682,44.983566
45,13100980,"VEAP, Inc. - Volunteers Enlisted to Assist People",Food Shelf - Supplemental,9/25/2001,2/4/2016,Non-Profit,http://www.veapvolunteers.org/services/food-program,"*Main Site (VEAP, Inc. - Volunteers Enlisted to Assist People)",9600 Aldrich Ave S,,Bloomington,MN,Hennepin,9600 Aldrich Ave S,Bloomington,MN,55420-4210,info@veap.org,9528889616,,"Accessible main entrance (zero step approach), Accessible public restroom, Designated disability parking, People with low income, Russian, Spanish",The Food Pantry makes available a seven day supply of food once every 30 days.,"Low-income residents, seniors, and people with disabilities living in Bloomington, Edina, Richfield and part of south Minneapolis (south of 50th Street, west of Cedar Avenue)",Call 952.888.9616 x100 to make an appointment for the food pantry,No fee but will accept contribution ,Hennepin,1,55420-4210,,,,-93.290993,44.829365
46,13100927,PRISM,Food Shelf,4/30/2002,1/27/2016,Non-profit,http://www.prismmpls.org,*Main Site (PRISM),730 Florida Ave S,,Golden Valley,MN,Hennepin,730 Florida Ave S,Golden Valley,MN,55426-1704,mness@prismmpls.org,7635291350,,,Supplemental food for area residents.,"To be eligible for services, families and individuals must live in Crystal, Golden Valley, New Hope, Plymouth, and Robbinsdale","To use the Food Shelf, visit Monday, 9:00am - 7:00pm, Tuesday and Wednesday, 9:00am - 4:00pm, or Thursday, 9:00am - 2:00pm.  Families meeting the eligibility criteria complete an application and meet with a Food Shelf Caseworker. Offers walk-in service. Need ID, address, and income verification

What to Bring:
* Photo ID
* Proof of residence (e.g. recent piece of mail)",,Hennepin,1,55426-1704,,,,-93.363184,44.973792
47,13100681,Community Emergency Assistance Programs,Food Shelf - Supplemental,6/24/2002,4/3/2015,Non-Profit,http://www.ceap.org,*Main Site (CEAP: Brooklyn Center Office),7051 Brooklyn Blvd,,Brooklyn Center,MN,Hennepin,7051 Brooklyn Blvd,Brooklyn Center,MN,55429-1371,info@ceap.com,7635669600,,"Accessible main entrance (zero step approach), Accessible public restroom, Designated disability parking",Provides food to individuals and families in need at two locations - Brooklyn Center and Blaine.,"* If you are getting assistance through the Brooklyn Center location, you must be a resident of Brooklyn Center, Brooklyn Park, or Champlin east of Highway 169.  
* If you are getting assistance through the Blaine location, you must be a resident of Anoka County.","Please call to make a food shelf appointment:

Brooklyn Center: (763) 566-9600
Blaine: (763) 783-4930",,Hennepin,1,55429-1371,,,,-93.341621,45.08341
48,13101418,CAPI USA,Food Shelf,9/30/2009,2/8/2016,Non-profit,http://www.capiusa.org,CAPI Asian Specific Food Shelf,3702 East Lake Street,Ste 29,Minneapolis,MN,Hennepin,310 E 38th St,Minneapolis,MN,55409-1300,info@capiusa.org,6127210122,,,Asian-specific Food Shelf provides free and culturally-specific food for individuals and families in need of food.,"The food shelf serves qualified low-income Southeast Asian families and individuals in the Hennepin County areas. 

",By appointments. Contact CAPI Food Shelf Coordinators at (612) 721-0122 to set up an appointment.,No fee,Hennepin,3,55406,Ste 29,,,-93.219072,44.948417
49,2882,St. Bonaventure Catholic Community,Food Shelf - St. Vincent De Paul,12/21/2006,10/8/2014,Faith Community,http://www.saintbonaventure.org,*Main site (St. Bonaventure Catholic Community),901 E 90th St,,Bloomington,MN,Hennepin,901 E 90th St,Bloomington,MN,55420-3801,office@saintbonaventure.org,,,,The St. Vincent De Paul Food Shelf at St. Bonaventure church provides food to Bloomington and Richfield residents in need. Clients are invited to receive food one time per calendar month.,Bloomington and Richfield residents.,"Proof of Bloomington or Richfield residency is required.

No appointment is necessary.",No fee,Hennepin,1,55420-3801,,,,-93.262406,44.840676
